time,flux
0.00000000,1.00051106
0.00138889,0.99800824
0.00277778,0.99875141
0.00416667,0.99776204
0.00555556,0.99885791
0.00694444,0.99823834
0.00833333,1.00160941
0.00972222,0.99989338
0.01111111,0.99899382
0.01250000,1.00180330
0.01527778,1.00132383
0.01666667,1.00277808
0.01805556,1.00153756
0.01944444,0.99954351
0.02083333,1.00088168
0.02222222,1.00016990
0.02361111,1.00282156
0.02500000,1.00414360
0.02638889,1.00039015
0.02777778,1.00215972
0.02916667,1.00459029
0.03055556,1.00058648
0.03194444,1.00206347
0.03333333,1.00197055
0.03472222,1.00357763
0.03611111,1.00352038
0.03750000,1.00246351
0.03888889,1.00096628
0.04027778,0.99984507
0.04166667,1.00295591
0.04305556,0.99976247
0.04444444,0.99632590
0.04583333,0.99680423
0.04722222,0.99898006
0.04861111,0.99940231
0.05000000,0.99889689
0.05138889,0.99974235
0.05277778,1.00015860
0.05416667,0.99830909
0.05555556,0.99921905
0.05694444,0.99659749
0.05833333,0.99797318
0.05972222,0.99952610
0.06111111,0.99805331
0.06250000,0.99859490
0.06388889,0.99864810
0.06527778,0.99771553
0.06666667,0.99960264
0.06805556,0.99651026
0.06944444,0.99599235
0.07083333,0.99429296
0.07222222,0.99902842
0.07361111,0.99736124
0.07500000,1.00027583
0.07638889,0.99879996
0.07777778,0.99829791
0.07916667,0.99752321
0.08055556,0.99995425
0.08194444,0.99797991
0.08333333,0.99753607
0.08472222,0.99899068
0.08611111,0.99837806
0.08750000,0.99707215
0.08888889,0.99930237
0.09027778,1.00023539
0.09166667,0.99956614
0.09305556,0.99942544
0.09444444,0.99917469
0.09583333,0.99743012
0.09722222,0.99675929
0.09861111,1.00049488
0.10138889,0.99874614
0.10277778,0.99669940
0.10416667,0.99773416
0.10555556,0.99552166
0.10694444,0.99656796
0.10833333,0.99561343
0.10972222,0.99736201
0.11111111,0.99661114
0.11250000,0.99805562
0.11388889,0.99599086
0.11527778,0.99802254
0.11666667,0.99772918
0.11805556,1.00125060
0.11944444,0.99939796
0.12083333,0.99883505
0.12222222,0.99798215
0.12361111,0.99503777
0.12500000,0.99632926
0.12638889,1.00005621
0.12777778,0.99713949
0.12916667,0.99473830
0.13055556,0.99615971
0.13194444,0.99487725
0.13333333,0.99494637
0.13472222,0.99641495
0.13750000,0.99673706
0.13888889,0.99462780
0.14027778,0.99559541
0.14166667,0.99483694
0.14305556,0.99658374
0.14444444,0.99378075
0.14583333,0.99736238
0.14722222,0.99848797
0.14861111,0.99570319
0.15000000,0.99587632
0.15138889,0.99722124
0.15277778,0.99655396
0.15416667,0.99639264
